(audusd).a1,audusd_a1
(audusd).a2,audusd_a2
(audusd).a3,audusd_a3
(audusd).a4,audusd_a4
(audusd).a5,audusd_a5
(audusd).a6,audusd_a6
(gbpjpy).a1,gbpjpy_a1
(gbpjpy).a2,gbpjpy_a2
(gbpjpy).a3,gbpjpy_a3
(gbpjpy).a4,gbpjpy_a4
(gbpjpy).a5,gbpjpy_a5
(gbpjpy).a6,gbpjpy_a6
(chfjpy).a1,chfjpy_a1
(chfjpy).a2,chfjpy_a2
(chfjpy).a3,chfjpy_a3
(chfjpy).a4,chfjpy_a4
(chfjpy).a5,chfjpy_a5
(chfjpy).a6,chfjpy_a6
(gbpchf).a1,gbpchf_a1
(gbpchf).a2,gbpchf_a2
(gbpchf).a3,gbpchf_a3
(gbpchf).a4,gbpchf_a4
(gbpchf).a5,gbpchf_a5
(gbpchf).a6,gbpchf_a6
(nzdusd).a1,nzdusd_a1
(nzdusd).a2,nzdusd_a2
(nzdusd).a3,nzdusd_a3
(nzdusd).a4,nzdusd_a4
(nzdusd).a5,nzdusd_a5
(nzdusd).a6,nzdusd_a6
next5, next5
