date,close,nextshift,shiftdiff,labelFormat
2015-12-11,4981.899902,5068.799805,1.01744312505,neutral
2015-12-13,4981.899902,5049.399902,1.01354904782,neutral
2015-12-14,4963.899902,5049.399902,1.01722436022,neutral
2015-12-15,5078.700195,4990.700195,0.982672731876,neutral
2015-12-16,5150.600098,4982.200195,0.96730479948,down
2015-12-17,5156.5,5041.600098,0.977717463008,neutral
2015-12-18,5156.5,4964.100098,0.962687888684,down
2015-12-20,5157.799805,4948.5,0.95942071951,down
2015-12-21,5167.700195,4948.5,0.957582640879,down
2015-12-22,5193.5,4911.799805,0.945759084432,down
2015-12-23,5256.100098,4955.100098,0.942733206296,down
2015-12-24,5256.100098,4896.899902,0.931660320522,down
2015-12-25,5256.100098,4917.600098,0.935598638974,down
2015-12-28,5315.600098,4969.600098,0.934908572199,down
2015-12-29,5366.399902,4969.600098,0.92605847286,down
2015-12-30,5344.600098,5057.100098,0.946207387882,down
2015-12-31,5344.600098,5057.100098,0.946207387882,down
2016-01-03,5322.799805,5000.799805,0.939505521193,down
2016-01-04,5239.200195,5028.100098,0.95970757193,down
2016-01-05,5178.0,5056.600098,0.976554673233,neutral
2016-01-06,5068.799805,5056.600098,0.997593176399,neutral
2016-01-07,5049.399902,5094.299805,1.00889212656,neutral
2016-01-08,5049.399902,5044.0,0.998930585395,neutral
2016-01-10,4990.700195,4930.799805,0.987997598,neutral
2016-01-11,4982.200195,5029.299805,1.00945357636,neutral
2016-01-12,5041.600098,5025.600098,0.996826404378,neutral
2016-01-13,4964.100098,5025.600098,1.01238895244,neutral
2016-01-14,4948.5,4882.600098,0.986682852986,neutral
2016-01-15,4948.5,4826.5,0.975346064464,neutral
2016-01-17,4911.799805,4870.899902,0.991673133144,neutral
2016-01-18,4955.100098,4816.600098,0.972049000573,neutral
2016-01-19,4896.899902,4816.600098,0.983601910268,neutral
2016-01-20,4917.600098,4893.399902,0.995078860518,neutral
2016-01-21,4969.600098,4961.600098,0.998390212524,neutral
2016-01-22,4969.600098,4938.399902,0.993721789403,neutral
2016-01-24,5057.100098,5047.100098,0.998022582151,neutral
2016-01-25,5057.100098,5008.299805,0.990350142957,neutral
2016-01-26,5000.799805,5008.299805,1.0014997601,neutral
2016-01-27,5028.100098,5056.600098,1.00566814491,neutral
2016-01-28,5056.600098,5039.100098,0.996539176589,neutral
2016-01-29,5056.600098,4943.299805,0.977593582485,neutral
2016-01-31,5094.299805,4944.700195,0.970633921103,neutral
2016-02-01,5044.0,4945.100098,0.980392565028,neutral
2016-02-02,4930.799805,4945.100098,1.00290019745,neutral
2016-02-03,5029.299805,4947.899902,0.983814863668,neutral
2016-02-04,5025.600098,4989.600098,0.992836676357,neutral
2016-02-05,5025.600098,5083.5,1.01152099269,neutral
2016-02-08,4882.600098,5142.200195,1.05316841269,up
2016-02-09,4826.5,5151.100098,1.06725372382,up
2016-02-10,4870.899902,5151.100098,1.05752534473,up
2016-02-11,4816.600098,5204.700195,1.08057552819,up
2016-02-12,4816.600098,5169.5,1.07326742823,up
2016-02-14,4893.399902,5215.700195,1.06586428648,up
2016-02-15,4961.600098,5210.899902,1.05024584793,up
2016-02-16,4938.399902,5224.799805,1.05799447365,up
2016-02-17,5047.100098,5224.799805,1.03520827872,up
2016-02-18,5008.299805,5242.399902,1.04674242879,up
2016-02-19,5008.299805,5168.600098,1.03200692835,up
2016-02-21,5056.600098,5175.700195,1.02355339451,neutral
2016-02-22,5039.100098,5226.399902,1.03716929618,up
2016-02-23,4943.299805,5239.299805,1.05987903054,up
2016-02-24,4944.700195,5239.299805,1.05957886189,up
2016-02-25,4945.100098,5224.899902,1.0565812215,up
2016-02-26,4945.100098,5230.799805,1.0577743021,up
2016-02-28,4947.899902,5204.299805,1.05181994545,up
2016-02-29,4989.600098,5151.600098,1.03246753183,up
